customer_id,state,income,employment_type,credit_score,loan_amount,loan_tenure,existing_loans_count,outstanding_debt,repayment_history_score,default_history,monthly_expenses,debt_to_income_ratio,risk_category,loan_eligible
CID000001,Uttar Pradesh,58085.0,Salaried,648,155129.0,48,3,13206.0,45.0,0,4345.0,0.2274,Medium,1
CID000002,Assam,20683.0,Salaried,493,309114.0,48,1,96694.0,40.6,1,14426.0,4.675,High,0
CID000003,Kerala,141737.0,Self-Employed,576,477178.0,24,0,630335.0,83.4,0,96972.0,4.4472,Medium,0
CID000004,West Bengal,75946.0,Salaried,662,221043.0,24,3,348005.0,59.3,0,59664.0,4.5823,Medium,1
CID000005,Karnataka,48420.0,Salaried,599,148974.0,84,3,106653.0,100.0,0,25741.0,2.2027,Medium,1
CID000006,Karnataka,129549.0,Freelancer,648,57513.0,36,1,199808.0,60.5,0,92388.0,1.5423,Medium,1
CID000007,Maharashtra,63464.0,Business Owner,602,445784.0,84,3,86468.0,83.5,0,19272.0,1.3625,Medium,1
CID000008,Bihar,232346.0,Government,644,215352.0,60,0,147542.5,71.1,1,144355.0,0.635,Medium,1
CID000009,West Bengal,68148.0,Freelancer,712,575259.0,180,4,104982.0,33.5,1,29946.0,1.5405,High,0
CID000010,Andhra Pradesh,67989.0,Business Owner,649,342734.0,120,0,196404.0,43.1,0,25710.0,2.8888,Medium,1
CID000011,Maharashtra,58366.0,Salaried,654,469510.0,36,4,116313.0,39.8,0,39054.0,1.9928,Medium,1
CID000012,Himachal Pradesh,80390.0,Business Owner,648,369218.0,84,0,147542.5,99.4,0,39035.0,1.8353,Low,1
CID000013,Haryana,118752.0,Freelancer,610,269021.0,84,1,244148.0,96.0,0,72077.0,2.0559,Medium,1
CID000014,Karnataka,58351.0,Business Owner,721,178281.0,180,2,106097.0,100.0,0,41735.0,1.8183,Low,1
CID000015,Karnataka,172119.0,Self-Employed,709,132779.0,84,0,417036.0,25.6,0,97900.0,2.423,Medium,1
CID000016,Maharashtra,132221.0,Salaried,813,384358.0,24,1,264199.0,42.6,0,68735.0,1.9982,Low,1
CID000017,Tamil Nadu,175438.0,Freelancer,698,281804.0,36,1,750630.0,82.1,1,107100.0,4.2786,Medium,1
CID000018,Rajasthan,62520.0,Business Owner,610,323980.0,84,1,194621.0,54.6,0,49893.0,3.1129,Medium,1
CID000019,Gujarat,14028.0,Government,577,902372.0,180,0,18134.0,83.9,1,5098.0,1.2927,High,0
CID000020,Tamil Nadu,178833.0,Salaried,726,292716.0,180,3,279293.0,61.1,0,77897.0,1.5618,Low,1
CID000021,West Bengal,46906.0,Salaried,584,193377.0,48,0,34756.0,59.0,1,35982.0,0.741,High,0
CID000022,Karnataka,171513.0,Salaried,714,371524.0,120,2,317058.0,33.7,1,136766.0,1.8486,Medium,1
CID000023,Tamil Nadu,129683.0,Business Owner,589,226217.0,60,2,455554.0,58.5,1,75073.0,3.5128,High,0
CID000024,Uttar Pradesh,104752.0,Salaried,677,260868.0,60,3,138619.0,77.4,0,32332.0,1.3233,Low,1
CID000025,Gujarat,61876.0,Salaried,565,336086.0,48,2,58560.0,50.2,0,44248.0,0.9464,Medium,0
CID000026,Madhya Pradesh,37973.0,Government,712,242924.0,84,0,73841.0,71.4,0,23366.0,1.9446,Low,1
CID000027,Karnataka,45355.0,Salaried,551,1265598.0,60,2,147691.0,49.1,0,25521.0,3.2563,High,0
CID000028,Rajasthan,32029.0,Freelancer,671,374870.0,48,0,84156.0,54.5,1,25070.0,2.6275,High,0
CID000029,West Bengal,78032.0,Salaried,634,400591.0,120,1,155662.0,55.9,0,28604.0,1.9948,Medium,1
CID000030,Maharashtra,42594.0,Freelancer,658,989224.0,48,0,190535.0,79.3,1,20119.0,4.4733,Medium,1
CID000031,West Bengal,26559.0,Self-Employed,618,124805.0,60,1,69279.0,87.2,0,16284.0,2.6085,Medium,1
CID000032,Karnataka,30683.0,Government,616,492865.0,48,0,78171.0,100.0,0,31478.0,2.5477,Low,1
CID000033,Maharashtra,47535.0,Government,662,277844.0,24,2,30539.0,85.6,0,34826.0,0.6425,Low,1
CID000034,Assam,60066.0,Salaried,648,250426.0,36,0,202845.0,77.3,0,40908.0,3.377,Medium,1
CID000035,Himachal Pradesh,18283.0,Salaried,569,198833.0,84,3,46933.0,100.0,0,7632.0,2.567,Medium,0
CID000036,Madhya Pradesh,85464.0,Salaried,621,126315.0,120,3,98526.0,69.4871955128205,0,38799.0,1.1528,Medium,1
